,hero,villain,victim,main,extreme,slope
1864,,frank underwood,,inf,-inf,9.6286916524154e-08
1865,,ganindu milk milk products private limited gmmpl,state bank india,inf,-inf,0.0
1870,,gerard badenclay,allison badenclay,inf,-inf,0.0
1884,,greg hoffman,moreton bay regional council,inf,-inf,
1885,,greg norman,daniel andrews,inf,-inf,
1887,,guido james eglitis,none,inf,-inf,0.0
1901,,hong kong police,hong kong protesters,inf,-inf,1.8663607328153435e-07
1902,,hong kong police,prodemocracy lawmakers,inf,-inf,0.0
1920,,internet archive,libraries,inf,-inf,0.0
1922,,iran,american forces interests middle east,inf,-inf,
1935,,jacob zuma,,inf,-inf,-1.3593141031529643e-08
1985,,joko widodo,indonesian citizens,inf,-inf,
2000,,kanye west,kanye west,inf,-inf,0.0
2010,,keyless ignition,28 people,inf,-inf,
2022,,kmb,15yearold boy,inf,-inf,0.0
2037,,maduro,venezuelan people,inf,-inf,0.0
2039,,malcolm turnbull,,inf,-inf,0.0
2040,,malcolm turnbull,state territory leaders,inf,-inf,0.0
2073,,michael gove,boris johnson,inf,-inf,0.00012672665061462426
2100,,murat davsanoglu,ozlem ozzie karakoc,inf,-inf,
2111,,neighbor,husband wife,inf,-inf,
2120,,nnitrosodiethylamine ndea,,inf,-inf,-0.0006827492034592626
2127,,novak djokovic,,inf,-inf,0.0
2128,,nra,victims parkland fla high school shooting parents,inf,-inf,
2137,,origin hit,suppressed 0,inf,-inf,0.0
2139,,outdated browser,,inf,-inf,1.0879562470997127e-08
2140,,pakistan,,inf,-inf,0.0
2143,,park geun hye,,inf,-inf,0.0
2144,,paul kagame,rwandan citizens,inf,-inf,-3.3734993409869036e-07
2150,,perimeterx,reader,inf,-inf,2.058431040545546e-09
2153,,peter nygard,alleged sexual assault victims,inf,-inf,
2157,,pollution,delhi residents,inf,-inf,0.0
2170,,reda hame,,inf,-inf,-0.0012594458438287153
2193,,roger rogerson glen mcnamara,jamie gao,inf,-inf,0.0
2200,,ronald gasser,joe mcknight,inf,-inf,0.0007668711656441718
2210,,russia,europe,inf,-inf,0.0
2236,,scott charles cameron,dannyll goodsell,inf,-inf,0.0001619726307597863
2241,,security forces,demonstrator,inf,-inf,
2244,,shelter worker,homeless shelter,inf,-inf,
2245,,shincheonji church jesus,south korea,inf,-inf,0.0007911392405063291
2271,,theresa may,,inf,-inf,0.0
2277,,tony mokbel,nicola gobbo,inf,-inf,
2299,,trump,nancy pelosi,inf,-inf,-4.6322148773308434e-08
2346,,uploaded content,person uploaded content,inf,-inf,0.0
2347,,uploaded content,user uploaded content,inf,-inf,0.0
2350,,us soccer,uswnt,inf,-inf,0.0003808073115003808
2355,,villain,,inf,-inf,0.0
2367,,west virginia official,home improvement contractor,inf,-inf,
2372,,william barr,robert mueller,inf,-inf,7.51653638003608e-05
2383,,zaza pachulia,nick young,inf,-inf,
2385,,zlatko sikorsky,larissa bielby,inf,-inf,
2392,rafael rojas,,,inf,-inf,0.0
2395,rahul gandhi,,,inf,-inf,3.1561566305650385e-09
2397,rajnath singh,,,inf,-inf,3.194351443119491e-08
2399,rajon rondo,,,inf,-inf,
2402,ram nath kovind,,,inf,-inf,9.04016686696089e-10
2403,ramesh,,,inf,-inf,4.321040333670734e-08
2404,rami aman,hamas,rami amans wife,inf,-inf,0.0
2405,rana daggubati,,,inf,-inf,4.723251248107334e-08
2406,ranbir kapoor,,,inf,-inf,0.0
2409,rani rampal,,,inf,-inf,2.7105584137942268e-08
2410,ranveer singh,,,inf,-inf,6.594426390937335e-09
2413,ravi shankar prasad,,,inf,-inf,-1.2631796214263307e-07
2417,rebecca judd,,,inf,-inf,0.0
2423,renault,,,inf,-inf,0.0
2424,renewable energy,,,inf,-inf,0.0
2427,rescuers,,,inf,-inf,
2428,researchers,,,inf,-inf,0.0
2431,revellers,,,inf,-inf,-3.171200929035024e-08
2432,rex tillerson,donald trump,,inf,-inf,7.688696645727209e-09
2434,rey,,,inf,-inf,2.9194695277156628e-08
2435,rhamondre stevenson,,,inf,-inf,
2438,rich hill,,,inf,-inf,-0.0001623887282437867
2449,rick husband,,,inf,-inf,
2450,rick mcquade,,,inf,-inf,
2451,rick morty,,,inf,-inf,0.0
2453,rick porcello,,,inf,-inf,0.0
2458,ricky martin,,,inf,-inf,-0.0002975304968759298
2465,rio ferdinand,,,inf,-inf,9.552901292545757e-09
2466,rishabh pant,,,inf,-inf,-1.1511964670764257e-08
2468,rivers,,,inf,-inf,
2469,riz ahmed,,,inf,-inf,2.717215792882074e-08
2474,robert fico,,,inf,-inf,-0.00037979491074819596
2483,robin thicke,,,inf,-inf,0.0
2488,rodriguez ovalles,,,inf,-inf,
2489,roger connor,,,inf,-inf,
2490,roger dingledine,,,inf,-inf,
2494,roger tuivasasheck,,,inf,-inf,0.0
2495,rohit bal,,,inf,-inf,1.5037491096865426e-07
2496,rohit sharma,,,inf,-inf,1.1699746912803702e-09
2497,roky erickson,,,inf,-inf,0.0
2514,rouhani,,,inf,-inf,0.0
2515,roxy jacenko,,,inf,-inf,2.5752255575685236e-07
2517,royal caribbean,,,inf,-inf,0.0
2519,rubalcaba,,,inf,-inf,-6.21725063172916e-08
2521,rudy gobert,,,inf,-inf,0.0
2524,rushin defence,,,inf,-inf,0.0
2528,russell wilson,,,inf,-inf,4.872007369365263e-09
2533,ryan gosling,,,inf,-inf,6.299383906564073e-09
2535,ryan lochte,,,inf,-inf,
2538,ryan spooner,,,inf,-inf,-0.015873015873015872
2550,wayne rooney,,,inf,-inf,2.811096867109866e-09
2552,webb simpson,,,inf,-inf,0.0
2554,wendy,,,inf,-inf,0.0
2555,wendy parsons,,,inf,-inf,
2556,wendy sherman,hun sen,cambodia,inf,-inf,
2557,werenski,,,inf,-inf,
2562,william george hutton,arch campbell,linda woods,inf,-inf,
2563,william karlsson,,,inf,-inf,2.5732712609660415e-07
2567,wing,,,inf,-inf,
2569,wisconsin,,,inf,-inf,
2570,woman,,,inf,-inf,1.1102149209554732e-08
2571,wonder woman,,,inf,-inf,-4.126038936604237e-07
2572,wordfence,hackers,wordpress website owners,inf,-inf,0.0
2576,ian desmond,,antwuan,inf,-inf,
2577,ian mckellen,,,inf,-inf,8.061077063015822e-09
2579,ichiro suzuki,,,inf,-inf,2.746426555747653e-08
2583,imran khan,,,inf,-inf,-2.1666944217027442e-10
2584,income tax department,,,inf,-inf,0.0
2587,india,pakistan,afghanistan,inf,-inf,-2.0150565021843213e-08
2588,india,us,iran,inf,-inf,-0.00019714144898965008
2589,indian army,militants,,inf,-inf,6.172702792236923e-09
2592,indranee rajah,,,inf,-inf,-1.08209491628021e-07
2595,interpol,mike,thousands people worldwide,inf,-inf,0.0
2597,irfan siddiqui,,,inf,-inf,0.0
2604,isro,,,inf,-inf,0.0
2605,isro scientists,,,inf,-inf,0.0
2606,isro scientists,teacher physically hit muslim student,muslim student,inf,-inf,0.0
2608,italians,,,inf,-inf,0.0
2612,ivica zubac,,,inf,-inf,
2615,k chandrasekhar rao,,,inf,-inf,5.662948892879274e-09
2616,k sivan,,,inf,-inf,3.619449933198238e-08
2617,kade lovell,,,inf,-inf,5.501760563380282e-05
2624,kangana ranaut,,,inf,-inf,1.076231509493109e-08
2627,kapil sharma,,,inf,-inf,0.0
2628,karan johar,,,inf,-inf,-1.0352787916234227e-08
2633,kartik aaryan,,,inf,-inf,1.3031154072893002e-08
2635,kate garraway,,,inf,-inf,0.0
2639,katherine johnson dorothy vaughan mary jackson,,,inf,-inf,-1.3728548028261315e-07
2640,katherine teh,murray watt,department infrastructure transport cities regional developments inland rail project,inf,-inf,
2645,keith ellison,derek chauvin,george floyd,inf,-inf,
2646,keith morrison,ken kratz,steven avery,inf,-inf,0.0
2651,ken agyapong,,,inf,-inf,0.0
2655,kennedy,,,inf,-inf,-0.00010946907498631637
2656,kenny hibbitt,,,inf,-inf,0.008333333333333333
2657,kerrin mcevoy,,,inf,-inf,0.0
2666,kevin mccarthy,,,inf,-inf,
2667,kevin pietersen,,,inf,-inf,0.0
2668,kevin stitt,,,inf,-inf,0.0
2675,kieron pollard,,,inf,-inf,0.0
2684,kirill dmitriev,,,inf,-inf,-4.079788248310132e-08
2687,klavan,,,inf,-inf,-0.001524390243902439
2688,klay thompson,jr smith,cleveland cavaliers,inf,-inf,-0.00038827412152980003
2689,klay thompson,jr smith,george hill,inf,-inf,
2692,kodi lee,,,inf,-inf,
2693,kofi annan,,,inf,-inf,-3.8089430363998786e-08
2696,kourtney kardashian,scott disick,,inf,-inf,5.471198010611126e-09
2699,kp sharma oli,,,inf,-inf,0.0
2702,kris worrell,,,inf,-inf,0.0
2707,kriti sanon,,,inf,-inf,2.7625204903302266e-09
2708,kuhlmanns,,,inf,-inf,0.0
2711,kurt ho,university california san francisco,49 employees,inf,-inf,-0.00031055900621118014
2713,kyle hendricks,,,inf,-inf,-1.6192033179755162e-09
2715,kyle schwarber,,,inf,-inf,0.0
2717,kyle trask,,,inf,-inf,0.00016429488406203668
2734,egypt,,,inf,-inf,0.0
2737,election commission,,,inf,-inf,0.0
2744,elizabeth warren,mike bloomberg,,inf,-inf,
2748,emer cooke,,,inf,-inf,-7.663732287438243e-08
2749,emergent biosolutions,,,inf,-inf,
2755,emma,,,inf,-inf,6.236737592534968e-09
2756,emma dawson,australian government,australian women,inf,-inf,
2757,emma stone,,,inf,-inf,0.0
2764,emperor naruhito,,,inf,-inf,0.0
2767,eoin morgan,,,inf,-inf,9.86955103920275e-09
2770,eric fry,,,inf,-inf,
2775,escobedo,,,inf,-inf,
2777,essential workers,employers,60 nurses across country,inf,-inf,0.00013124346171832096
2779,european parliament,,,inf,-inf,0.0
2780,european union,,,inf,-inf,-1.5827252252419793e-08
2781,eva longoria,,,inf,-inf,0.0
2784,evan rachel wood,marilyn manson,evan rachel wood,inf,-inf,-3.5954409808362993e-05
2785,evander kane,patrick marleau,jacob middleton,inf,-inf,
2786,eventbrite,,,inf,-inf,-9.489288086785213e-10
2788,evo morales,,,inf,-inf,2.5278122543282464e-07
2790,dad,,,inf,-inf,-1.2644057435034595e-08
2792,dak prescott,,,inf,-inf,-4.742792887499103e-08
2795,daléne fourie,,,inf,-inf,0.0
2797,damian lillard,,kobe bryant,inf,-inf,0.0010822510822510823
2802,daniel andrews,,,inf,-inf,-3.866478137192697e-07
2803,daniel berrigan,,,inf,-inf,0.0
2806,daniel murphy,jose reyes,new york mets,inf,-inf,0.0
2811,darian kinnard,,,inf,-inf,0.0
2813,daryl sabara,,,inf,-inf,-3.0741799624950045e-05
2815,david anable,,,inf,-inf,0.0
2821,david hurley,,,inf,-inf,0.0
2825,david nield,,,inf,-inf,0.0
2826,david nucifora,,,inf,-inf,0.0
2831,david warner,,,inf,-inf,8.677286436135667e-09
2833,davis,,,inf,-inf,
2834,db corp ltd,,,inf,-inf,0.0
2835,deandre jordan,,,inf,-inf,0.0008873114463176575
2837,deepika padukone,,,inf,-inf,-7.341345835798209e-09
2838,deere,,,inf,-inf,
2839,deion sanders,,,inf,-inf,0.0
2840,deleon,,,inf,-inf,-0.037037037037037035
2841,deloitte,,,inf,-inf,0.0
2845,denise ferris,,,inf,-inf,0.0
2850,denzel valentine,,,inf,-inf,0.0
2852,dereck rodriguez,shelby miller,arizona diamondbacks,inf,-inf,0.0
2854,derozan aldridge,,,inf,-inf,
2858,detective acting superintendent michael cook,van dung nguyen hue hong phan,,inf,-inf,
2862,dhalucard,,,inf,-inf,0.0
2863,dhanush,,,inf,-inf,-2.6267170323897327e-08
2865,diana princess wales,,,inf,-inf,0.0
2869,diego valeri,,,inf,-inf,
2873,disneyland,,,inf,-inf,0.0
2875,dixie longate,,,inf,-inf,
2878,doctor,,,inf,-inf,-2.643538111991185e-07
2905,dr allison duggal,,,inf,-inf,-0.07692307692307693
2907,dr chikwe ihekweazu,,,inf,-inf,7.446695621901476e-07
2908,dr david williams,,,inf,-inf,0.0
2913,dr kovac,,,inf,-inf,0.0
2917,dr simon kwok siuming,,tye angland,inf,-inf,
2918,draisaitl,,,inf,-inf,
2930,jack black,,,inf,-inf,-3.797678813137265e-08
2932,jack eichel,,,inf,-inf,-0.005780346820809248
2933,jack marshall zena bethell,,,inf,-inf,
2934,jack murphy,,,inf,-inf,8.246836185827379e-09
2935,jack ziebell,,,inf,-inf,
2936,jackson manigault,,,inf,-inf,0.0
2937,jacob degrom,,,inf,-inf,9.488100830427049e-09
2941,jagmeet singh,,,inf,-inf,-4.511495900606693e-08
2945,jake virtanen,,,inf,-inf,-0.00026469031233456857
2949,jalen hurts,,,inf,-inf,5.4169094570626235e-08
2958,james cummings,,,inf,-inf,0.0
2962,james gunn,,,inf,-inf,0.0
2964,james harmes,,,inf,-inf,
2970,jane,,,inf,-inf,0.0
2972,janet jackson,,,inf,-inf,-8.632616805995663e-08
2976,japan,,,inf,-inf,6.733391841570617e-09
2979,jarome iginla,,,inf,-inf,2.560173157823564e-08
2980,jaromir jagr,,,inf,-inf,0.0
2982,jarryd roughead,,,inf,-inf,1.8646701485608902e-07
2984,jasprit bumrah,,,inf,-inf,-1.4885776146250937e-08
2985,javale mcgee,,,inf,-inf,-2.930028058534694e-08
2994,jd martinez,,,inf,-inf,-1.5416825473429215e-09
2995,jeanclaude juncker,,,inf,-inf,5.199408663546009e-09
2996,jeanine leane,,,inf,-inf,
3002,jeff carter,,,inf,-inf,
3004,jeff fisher,,,inf,-inf,-1.3663503982231652e-08
3010,jelta wong,facebook,papua new guinea,inf,-inf,0.0
3018,jennifer lópez,,,inf,-inf,1.295006184257604e-08
3022,jeremy cameron,,,inf,-inf,0.0
3037,jesus,herod,innocent babies,inf,-inf,0.0
3040,jevon holland,,,inf,-inf,
3041,jewell loyd,brittney griner,phoenix mercury,inf,-inf,0.0
3047,jim mccarthy,,,inf,-inf,
3058,jio,,,inf,-inf,2.09862279535487e-08
3059,jitu rai,,,inf,-inf,-1.4363582475992406e-08
3063,joakim noah,,,inf,-inf,0.000427715996578272
3064,joanna lumley,,,inf,-inf,0.0
3066,jock fairweather,,,inf,-inf,0.0
3076,joe biden,donald trump,black community,inf,-inf,-0.00021123785382340515
3077,joe biden,donald trump,black tulsans,inf,-inf,
3080,joe biden,kim jong un,north korea,inf,-inf,5.26066600031564e-05
3082,joe biden,myanmar military,aung san suu kyi,inf,-inf,
3083,joe biden,pete buttigieg,,inf,-inf,0.0
3091,joe maddon,,,inf,-inf,0.0
3094,joe schmidt,england,,inf,-inf,0.0
3096,joel embiid,boston crowd,ben simmons,inf,-inf,
3097,joey logano,,,inf,-inf,
3109,john doe,jane smith,bob johnson,inf,-inf,0.0
3112,john hauser,,,inf,-inf,0.0
3122,john lee,,,inf,-inf,5.380252000243188e-07
3123,john legend,,,inf,-inf,9.513564349340922e-09
3134,john roberts,,,inf,-inf,-5.907693471053484e-08
3136,john stamos,,,inf,-inf,
3147,jonas cramby,,,inf,-inf,
3150,jonathan quick,,,inf,-inf,
3151,jonathan quick,,none,inf,-inf,
3153,joneigh khaldun,,,inf,-inf,0.0
3157,joonas donskoi,arizona coyotes,,inf,-inf,-0.0006944444444444445
3158,jordan henderson,,,inf,-inf,0.0
3160,jordan rapana,,,inf,-inf,0.0
3161,jorge salazar araoz,,,inf,-inf,0.0
3162,jorge sampaoli,,argentina,inf,-inf,0.0
3163,jose mourinho,,,inf,-inf,0.0
3164,josep maria bartomeu,,,inf,-inf,-0.0007251631617113851
3165,joseph,,,inf,-inf,-2.5830245966813265e-08
3167,josh,,,inf,-inf,0.0
3169,josh frydenberg,,,inf,-inf,8.181079095258994e-09
3171,josh hader,,,inf,-inf,
3178,jrue holiday,andre drummond,los angeles lakers,inf,-inf,0.0017730496453900709
3186,judi dench,,,inf,-inf,-8.448231783173203e-09
3191,jumpei yasuda,umaru,jumpei yasuda,inf,-inf,-0.0005544774050457444
3195,justin fields,penn state,one,inf,-inf,0.0013631495125693682
3196,justin rose,,,inf,-inf,2.462005269458223e-08
3203,justis mosqueda,,,inf,-inf,0.0
3209,yarilet perez,,,inf,-inf,0.0
3212,yogi adityanath,,,inf,-inf,7.698866044345504e-09
3214,yoon,,,inf,-inf,0.0
3221,yuvraj singh,,,inf,-inf,-1.2517151570936476e-08
3222,yuzuru hanyu,,,inf,-inf,-2.718503083460381e-08
3223,babajide sanwoolu,,,inf,-inf,0.0
3226,bae systems,,,inf,-inf,2.457560691611645e-08
3227,baker,,,inf,-inf,
3228,bam adebayo,,,inf,-inf,0.0
3229,ban kimoon,,,inf,-inf,1.5403274674582717e-07
3235,barbara calvano,,,inf,-inf,0.0
3236,barbara ehrenreich,,,inf,-inf,0.0
3237,barbra streisand,,,inf,-inf,0.009174311926605505
3238,bartolo colon,,,inf,-inf,
3242,beauden barrett,,,inf,-inf,4.210668148821855e-08
3243,becky russell,mississippi,premature babies,inf,-inf,
3244,bega,kraft,,inf,-inf,0.0
3245,bella hadid,,,inf,-inf,6.557457177704826e-09
3247,ben sasse,josh hawley,mike pence,inf,-inf,
3248,ben stokes,,,inf,-inf,-8.719130635073578e-09
3265,beth ditto,,,inf,-inf,0.0
3271,bhuvneshwar kumar,,,inf,-inf,2.259552285531488e-08
3272,biden,,,inf,-inf,6.374457700979161e-09
3273,big duke,,,inf,-inf,0.0
3277,bill masters,,patrick eells,inf,-inf,
3282,billie eilish,,,inf,-inf,-2.3507010966020617e-05
3285,bipin rawat,,,inf,-inf,0.0
3286,bishop,,,inf,-inf,-0.013888888888888888
3291,bloomberg,,,inf,-inf,0.0
3298,bobo,,,inf,-inf,
3302,booker,,,inf,-inf,1.5188825350319624e-08
3303,booker,,uc santa barbara,inf,-inf,
3308,boris johnson,spain,gibraltar,inf,-inf,0.00041476565740356696
3311,boyd cordner,calf injury,nsw,inf,-inf,
3312,brad marsh,bakers delight,bakers delight workers,inf,-inf,0.0
3317,brandon thorn,,,inf,-inf,0.0
3327,brian walter,,john walter,inf,-inf,
3328,brian walter,covid19,john walter,inf,-inf,0.008695652173913044
3330,britney spears,jamie spears,,inf,-inf,0.0
3331,brody petersen,,,inf,-inf,
3332,bruce,,,inf,-inf,-8.128444064789853e-05
3333,bruce clark,,,inf,-inf,
3335,bruce willis,,,inf,-inf,-5.406015554620435e-08
3338,bryce harper,,,inf,-inf,-7.792248285880486e-09
3341,bunnings stores,,droughtaffected farmers,inf,-inf,
3342,burger king,,,inf,-inf,-3.956948401392846e-08
3345,business standard,,,inf,-inf,0.0
3347,buzzfeed staff,,,inf,-inf,0.0
3348,u2,,,inf,-inf,3.8105962927775633e-08
3351,ucla,florida state,,inf,-inf,0.0
3352,uddhav thackeray,,,inf,-inf,1.8649413357363333e-07
3357,unam,,,inf,-inf,5.8118938140265466e-08
3361,united states government,,,inf,-inf,0.0
3363,unknown,unknown,,inf,-inf,3.48397252441716e-08
3367,us military personnel,pentagon officials,marine corps equipment,inf,-inf,0.0
3370,zac,,,inf,-inf,-3.0586727112096456e-08
3373,zack godley,,,inf,-inf,
3374,zack godley,injury,jake lamb,inf,-inf,0.0005458594668804858
3379,zenon aviation,,,inf,-inf,
3380,zinedine zidane,,,inf,-inf,-9.460367399044162e-08
3383,la la land,,,inf,-inf,-2.8102367933624457e-07
3385,lady bird,,,inf,-inf,-3.873854888494961e-07
3388,lamelo ball,,,inf,-inf,6.341167158397758e-08
3391,land transport authority,,,inf,-inf,0.014492753623188406
3392,lapd devonshire,,melissa veliz,inf,-inf,
3395,larry krasner,,,inf,-inf,
3398,lauren goodger,,,inf,-inf,0.0
3406,lebron james,,kobe bryant,inf,-inf,0.00016820102120745044
3408,lebron james,sacramento kings,los angeles lakers,inf,-inf,0.004106776180698152
3409,lee,,,inf,-inf,-3.54481812814319e-08
3412,leigh broxham,,,inf,-inf,-6.373908786815697e-08
3414,leila de lima,,,inf,-inf,0.0
3416,lemieux,,,inf,-inf,
3418,lena plug,,,inf,-inf,-1.3157806441035724e-07
3423,leon draisaitl,,,inf,-inf,-6.645178816445805e-08
3424,leonard,,,inf,-inf,0.0
3425,leonardo da vinci,,,inf,-inf,0.0
3429,letitia james,,,inf,-inf,2.2165829776452317e-05
3434,lg,,,inf,-inf,1.3952157693310935e-08
3435,lias andersson,marcandre fleury,vegas golden knights,inf,-inf,
3436,libraries,,,inf,-inf,0.0
3438,lieutenantgeneral john frewen,,,inf,-inf,
3440,lily collins,,,inf,-inf,0.0
3444,lindsley ruth,,,inf,-inf,0.02040816326530612
3447,lionel messi,atletico madrid,barcelona,inf,-inf,0.00022262990744564539
3449,liverpool,,,inf,-inf,1.5858095167473855e-08
3450,liz cambage,,,inf,-inf,-2.6412443028690542e-08
3453,lloyd williams,,,inf,-inf,0.0
3454,lloyd williams,sheikh mohammed bin rashid al maktoum,elmer funke kupper,inf,-inf,0.0
3456,logan webb,reyes moronta,san francisco giants,inf,-inf,-0.03125
3457,lola mitchell,killer william macdowell,sheila haggertys solicitors client,inf,-inf,0.0
3460,lori la bey,,,inf,-inf,0.0
3463,lucien hervé,,,inf,-inf,0.0
3464,lucy hale,,,inf,-inf,-3.0073370000790927e-07
3465,luis,,,inf,-inf,-0.05952380952380953
3469,luke beveridge,,,inf,-inf,0.0
3470,luke marshall,,,inf,-inf,0.0
3471,luke shaw,,,inf,-inf,-5.1759700414854e-09
3474,aaron finch,,,inf,-inf,0.0005120327700972862
3477,aaron paul,,,inf,-inf,0.0
3479,aaron salter,payton gendron,ruth whitfield,inf,-inf,0.0
3481,ab de villiers,,,inf,-inf,-2.439078562713795e-09
3482,abbott,,,inf,-inf,-1.1365908791148594e-05
3485,abhimanyu mishra,,,inf,-inf,0.0
3489,acquaah,,seattle,inf,-inf,
3490,adalberto santana,government colombia,berta cáceres,inf,-inf,0.0
3491,adam,,,inf,-inf,-7.227322607967537e-09
3496,adam schiff,donald trump,joe biden,inf,-inf,0.0
3501,adar poonawalla,,,inf,-inf,5.0767263420617995e-08
3506,adrian peterson,,,inf,-inf,8.082849204344531e-09
3508,afghan forces,fighters,,inf,-inf,
3511,ahmad zahid hamidi,,,inf,-inf,0.0
3512,aidan hutchinson,,,inf,-inf,7.051899154751949e-09
3513,aishwarya rai bachchan,,,inf,-inf,-1.2822304655394152e-08
3515,akasa air,,,inf,-inf,0.0
3521,alair homes,,,inf,-inf,0.0
3524,alan jones,climate alarmism,students,inf,-inf,
3527,alastair mactaggart,,,inf,-inf,0.0
3530,albert pujols,,,inf,-inf,
3535,alex fasolo,,,inf,-inf,0.0
3536,alex johnson,,,inf,-inf,-1.529241529538814e-08
3552,alexander skarsgard,,,inf,-inf,2.4749473454952244e-07
3554,alexander zverev,,,inf,-inf,0.0
3555,alexandra petri,,,inf,-inf,0.0
3564,alia bhatt,,,inf,-inf,0.0
3565,alice bishop,,,inf,-inf,
3567,alonso,,,inf,-inf,
3568,alvarez,,,inf,-inf,-0.06666666666666667
3569,alyssa healy,,,inf,-inf,0.0
3570,amadeus,,,inf,-inf,2.4987483145005588e-08
3571,amadou gallo fall,,,inf,-inf,-1.37328456158989e-07
3573,amanda berry,ariel castro,amanda berry,inf,-inf,0.0
3575,amanda reed,,,inf,-inf,0.0
3578,amazoncom,,,inf,-inf,0.0
3580,american airlines employee,accelerator,,inf,-inf,
3584,amnesty international,turkey,syrian refugees,inf,-inf,0.0
3587,anand kumar,,,inf,-inf,9.049940176275458e-09
3590,andre russell,,,inf,-inf,3.395477359975607e-08
3592,andrei vasilevskiy,,,inf,-inf,
3593,andrelton simmons,,,inf,-inf,-1.4011421441285978e-08
3595,andrew,wombat,tradesman,inf,-inf,0.0
3600,andrew forrest,,,inf,-inf,
3604,andrey rublev,nick kyrgios,,inf,-inf,-0.1111111111111111
3617,angelique kerber,,,inf,-inf,0.0
3631,anthony knockaert,,,inf,-inf,
3633,antim panghal,brij bhushan sharan singh,indian wrestling,inf,-inf,0.0
3638,anushka sharma,,,inf,-inf,-7.905743045319779e-10
3642,applicable,applicable,applicable,inf,-inf,0.0
3643,ar rahman,,,inf,-inf,2.7025142571139635e-07
3644,arch linux,,,inf,-inf,0.0
3645,archive team,,,inf,-inf,0.0
3646,archiveit,,,inf,-inf,0.0
3647,archiveteam,,,inf,-inf,0.0
3650,arizona department transportation,,,inf,-inf,9.865112345872418e-09
3651,army,,,inf,-inf,7.695908434119556e-09
3652,army national state disaster response force police home guards,,shiv temple,inf,-inf,0.0
3653,army national state disaster response force police home guards,,three persons feared buried shiv temple debris,inf,-inf,0.0
3655,arnold palmer,,,inf,-inf,-6.180812372601868e-08
3659,arslan farid,,,inf,-inf,0.0
3660,artist,,,inf,-inf,-3.5551474908440036e-10
3662,arundhati bhattacharya,,,inf,-inf,1.5950132171595498e-08
3665,asha bhosle,,,inf,-inf,-0.0003506926179203928
3672,astrid silva,,,inf,-inf,
3674,asus,,,inf,-inf,1.5966950335521897e-08
3675,athiri,,,inf,-inf,
3678,austin dillon,,,inf,-inf,2.716546074658836e-08
3679,australia,,,inf,-inf,1.8535426946877836e-08
3680,australia,india,south africa,inf,-inf,0.0
3681,australian,,,inf,-inf,0.0
3688,ayushmann khurrana,,,inf,-inf,-1.0100747907125264e-08
3690,xi jinping,,,inf,-inf,-5.133509351447234e-09
3692,xi jinping,na,na,inf,-inf,0.0
3695,xolani gwala,,,inf,-inf,0.0
3696,xtream1101,,,inf,-inf,0.0
3697,xtream1101,unknown,,inf,-inf,0.0
3698,xtream1101,unknown,libraries,inf,-inf,0.0
